##ENCODING: csv
##X-Sampling: StartIndex,StepSize,NumberOfSteps
#0,0,0
##Y-Sampling: StartIndex,StepSize,NumberOfSteps
#0,0,0
##xindex,yindex,switch,xcoord/m,ycoord/m,current/A
0,0,0,2.500000E-07,2.500000E-07,2.506527E-11
0,1,0,2.500000E-07,7.500000E-07,2.527744E-11
0,2,0,2.500000E-07,1.250000E-06,2.551076E-11
0,3,0,2.500000E-07,1.750000E-06,2.575919E-11
0,4,0,2.500000E-07,2.250000E-06,2.601668E-11
0,5,0,2.500000E-07,2.750000E-06,2.627720E-11
0,6,0,2.500000E-07,3.250000E-06,2.653471E-11
0,7,0,2.500000E-07,3.750000E-06,2.678317E-11
0,8,0,2.500000E-07,4.250000E-06,2.696700E-11
0,9,0,2.500000E-07,4.750000E-06,2.708480E-11
0,10,0,2.500000E-07,5.250000E-06,2.718943E-11
0,11,0,2.500000E-07,5.750000E-06,2.728418E-11
0,12,0,2.500000E-07,6.250000E-06,2.737232E-11
0,13,0,2.500000E-07,6.750000E-06,2.745715E-11
0,14,0,2.500000E-07,7.250000E-06,2.754196E-11
0,15,0,2.500000E-07,7.750000E-06,2.763003E-11
0,16,0,2.500000E-07,8.250000E-06,2.774595E-11
0,17,0,2.500000E-07,8.750000E-06,2.789100E-11
0,18,0,2.500000E-07,9.250000E-06,2.804317E-11
0,19,0,2.500000E-07,9.750000E-06,2.820173E-11
0,20,0,2.500000E-07,1.025000E-05,2.836597E-11
0,21,0,2.500000E-07,1.075000E-05,2.853516E-11
0,22,0,2.500000E-07,1.125000E-05,2.870858E-11
0,23,0,2.500000E-07,1.175000E-05,2.888551E-11
0,24,0,2.500000E-07,1.225000E-05,2.906882E-11
0,25,0,2.500000E-07,1.275000E-05,2.925745E-11
0,26,0,2.500000E-07,1.325000E-05,2.944642E-11
0,27,0,2.500000E-07,1.375000E-05,2.963432E-11
0,28,0,2.500000E-07,1.425000E-05,2.981976E-11
0,29,0,2.500000E-07,1.475000E-05,3.000134E-11
0,30,0,2.500000E-07,1.525000E-05,3.017767E-11
0,31,0,2.500000E-07,1.575000E-05,3.034734E-11
0,32,0,2.500000E-07,1.625000E-05,3.053603E-11
0,33,0,2.500000E-07,1.675000E-05,3.073978E-11
0,34,0,2.500000E-07,1.725000E-05,3.092505E-11
0,35,0,2.500000E-07,1.775000E-05,3.108534E-11
