x,y,data

0,0,0.025086875
0,1,0.025328625
0,2,0.025570375
0,3,0.025812125
0,4,0.026053875
0,5,0.026295625
0,6,0.026537375000000002
0,7,0.026779125
0,8,0.0269491875
0,9,0.0270475625
0,10,0.0271459375
0,11,0.0272443125
0,12,0.0273426875
0,13,0.027441062500000002
0,14,0.0275394375
0,15,0.0276378125
0,16,0.0277680625
0,17,0.027930187500000002
0,18,0.0280923125
0,19,0.0282544375
0,20,0.0284165625
0,21,0.028578687499999998
0,22,0.0287408125
0,23,0.0289029375
0,24,0.02907296875
0,25,0.02925090625
0,26,0.02942884375
0,27,0.02960678125
0,28,0.02978471875
0,29,0.02996265625
0,30,0.03014059375
0,31,0.030318531250000003
0,32,0.0304640625
0,33,0.0305771875
0,34,0.0306903125
0,35,0.0308034375
0,36,0.0309165625
0,37,0.0310296875
0,38,0.0311428125
0,39,0.0312559375
0,40,0.03112634375
0,41,0.03075403125
0,42,0.030381718749999998
0,43,0.03000940625
0,44,0.02963709375
0,45,0.02926478125
0,46,0.028892468749999997
0,47,0.028520156249999998
0,48,0.028348687499999997
0,49,0.0283780625
0,50,0.0284074375
0,51,0.0284368125
0,52,0.0284661875
0,53,0.028495562500000002
0,54,0.0285249375
0,55,0.0285543125
0,56,0.028599968750000003
0,57,0.02866190625
0,58,0.02872384375
0,59,0.02878578125
0,60,0.02884771875
0,61,0.02890965625
0,62,0.02897159375
0,63,0.029033531249999998
0,64,0.02907378125
0,65,0.02909234375
0,66,0.02911090625
0,67,0.029129468749999998
0,68,0.029148031249999998
0,69,0.029166593749999997
0,70,0.02918515625
0,71,0.02920371875
0,72,0.02925028125
0,73,0.02932484375
0,74,0.02939940625
0,75,0.02947396875
0,76,0.02954853125
0,77,0.029623093750000003
0,78,0.029697656250000003
0,79,0.029772218750000003
0,80,0.02978146875
0,81,0.029725406250000003
0,82,0.02966934375
0,83,0.02961328125
0,84,0.029557218750000003
0,85,0.02950115625
0,86,0.02944509375
0,87,0.02938903125
0,88,0.0294190625
0,89,0.0295351875
0,90,0.0296513125
0,91,0.0297674375
0,92,0.029883562500000002
0,93,0.0299996875
0,94,0.0301158125
0,95,0.0302319375
0,96,0.030346
0,97,0.030458
0,98,0.03057
